Line,Project,Station,lat,long,Year,Mode
SPRINTER,SPRINTER,Oceanside,33.1915708,-117.3788685,2008,LRT
SPRINTER,SPRINTER,Coast Highway,33.1816745,-117.3692555,2008,LRT
SPRINTER,SPRINTER,Crouch Street,33.1943739,-117.3540221,2008,LRT
SPRINTER,SPRINTER,El Camino Real,33.1997309,-117.3328242,2008,LRT
SPRINTER,SPRINTER,Rancho Del Oro,33.2014251,-117.3120332,2008,LRT
SPRINTER,SPRINTER,College Boulevard,33.2044048,-117.2886379,2008,LRT
SPRINTER,SPRINTER,Melrose Drive,33.2193422,-117.2600891,2008,LRT
SPRINTER,SPRINTER,Vista Transit Center,33.2035054,-117.2452052,2008,LRT
SPRINTER,SPRINTER,Civic Center–Vista,33.1900868,-117.2370628,2008,LRT
SPRINTER,SPRINTER,Buena Creek Road,33.1735145,-117.2075368,2008,LRT
SPRINTER,SPRINTER,Palomar College,33.147036,-117.1855096,2008,LRT
SPRINTER,SPRINTER,San Marcos Civic Center,33.1422655,-117.1619983,2008,LRT
SPRINTER,SPRINTER,Cal State San Marcos,33.1347184,-117.1540191,2008,LRT
SPRINTER,SPRINTER,Nordahl Road,33.1313047,-117.124436,2008,LRT
SPRINTER,SPRINTER,Escondido Transit Center,33.1182586,-117.0918621,2008,LRT
