line,Project,Station,lat,long,Year,Mode
Line 1,Central Link,Westlake,47.6117729,-122.3361935,2009,LRT
Line 1,Central Link,University Street,47.6077404,-122.3359401,2009,LRT
Line 1,Central Link,Pioneer Square,47.6027217,-122.3313539,2009,LRT
Line 1,Central Link,International District/Chinatown,47.5983652,-122.3279941,2009,LRT
Line 1,Central Link,Stadium,47.5911093,-122.3272659,2009,LRT
Line 1,Central Link,SODO,47.5812626,-122.3274335,2009,LRT
Line 1,Central Link,Beacon Hill,47.579271,-122.3117942,2009,LRT
Line 1,Central Link,Mount Baker,47.5765538,-122.2977276,2009,LRT
Line 1,Central Link,Columbia City,47.5597267,-122.2927376,2009,LRT
Line 1,Central Link,Othello,47.5379905,-122.2816158,2009,LRT
Line 1,Central Link,Rainier Beach,47.5224288,-122.2793377,2009,LRT
Line 1,Central Link,Tukwilla International Boulevard,47.4640175,-122.2879013,2009,LRT
Line 1,Central Link,SeaTac/Airport,47.4453473,-122.29699,2009,LRT
